1.48578e-09 0.213667
2.80744e-09 0.213667
5.08445e-09 0.213667
9.60727e-09 0.213667
2.34152e-08 0.206220
5.16902e-08 0.202594
1.04826e-07 0.192094
2.78110e-07 0.158040
7.17267e-07 0.116895
1.31751e-06 0.0849418
2.90847e-06 0.0490109
4.20085e-06 0.0362512
5.81548e-06 0.0263419
7.50115e-06 0.0178302
9.95298e-06 0.0110444
1.54288e-05 0.00515068
2.04718e-05 0.00330568
2.95685e-05 0.00235983
4.91942e-05 0.00171477
8.18463e-05 0.00120261
0.000125094 0.000873873
0.000226553 0.000504219
0.000351194 0.000359948
0.000722356 0.00018021 
