0 9.995130929877696e+03 1.045735262803911e+03
1e-08 9.947720992480772e+03 1.397867911657717e+03
2e-08 9.902519552260655e+03 1.667545133023963e+03
3e-08 9.859368333927499e+03 1.900018558209998e+03
4e-08 9.818124415059632e+03 2.109076315378032e+03
5e-08 9.778658121559160e+03 2.301024416654608e+03
6e-08 9.740851226488427e+03 2.479346267837665e+03
7e-08 9.704595459063448e+03 2.646200539084827e+03
8e-08 9.669791303019327e+03 2.803041942993722e+03
9e-08 9.636347028469476e+03 2.950922493835890e+03
1e-07 9.604177935068099e+03 3.090655412124926e+03
1.1e-07 9.573205709387661e+03 3.222898953657653e+03
1.2e-07 9.543357901920413e+03 3.348215156885615e+03
1.3e-07 9.514567466668566e+03 3.467100892596035e+03
1.4e-07 9.486772360540257e+03 3.579991550072977e+03
1.5e-07 9.459915145933388e+03 3.687312340636532e+03
1.6e-07 9.433942668063313e+03 3.789438225239287e+03
1.7e-07 9.408805696754369e+03 3.886687735885957e+03
1.8e-07 9.384458588165055e+03 3.979461317910716e+03
1.9e-07 9.360859144851378e+03 4.067975150165485e+03
2e-07 9.337968131943991e+03 4.152543459236134e+03
2.1e-07 9.315749135645103e+03 4.233441238066902e+03
2.2e-07 9.294168357206867e+03 4.310875085310446e+03
2.3e-07 9.273194381068673e+03 4.385085318945154e+03
2.4e-07 9.252797936841662e+03 4.456290319745171e+03
2.5e-07 9.232951730793198e+03 4.524691479375547e+03
2.6e-07 9.213630382282077e+03 4.590402944758414e+03
2.7e-07 9.194810058685613e+03 4.653622215683473e+03
2.8e-07 9.176468522444839e+03 4.714490601739024e+03
2.9e-07 9.158584774175646e+03 4.773178533651277e+03
3e-07 9.141139605227247e+03 4.829735945230855e+03
3.1e-07 9.124114544748816e+03 4.884351772124776e+03
3.2e-07 9.107492395186979e+03 4.937126259484877e+03
3.3e-07 9.091256901968709e+03 4.988087493758118e+03
3.4e-07 9.075392802205755e+03 5.037506946774068e+03
3.5e-07 9.059885702080253e+03 5.085298266098434e+03
3.6e-07 9.044722305386089e+03 5.131607590615364e+03
3.7e-07 9.029889614593953e+03 5.176489218831314e+03
3.8e-07 9.015375484184662e+03 5.220037564945997e+03
3.9e-07 9.001168420153608e+03 5.262324433286399e+03
4e-07 8.987257521403542e+03 5.303402758955231e+03
4.1e-07 8.973632520773146e+03 5.343245698796009e+03
4.2e-07 8.960283628242240e+03 5.382009300872855e+03
4.3e-07 8.947201497954729e+03 5.419751818044395e+03
4.4e-07 8.934377231279293e+03 5.456482061495323e+03
4.5e-07 8.921802502967199e+03 5.492183549931848e+03
4.6e-07 8.909469255619435e+03 5.527008590978173e+03
4.7e-07 8.897369728259808e+03 5.560959960879450e+03
4.8e-07 8.885496797612754e+03 5.594001390421072e+03
4.9e-07 8.873843382503836e+03 5.626320394373514e+03
5e-07 8.862402832586991e+03 5.657751935156542e+03
5.1e-07 8.851168870235202e+03 5.688502181169895e+03
5.2e-07 8.840135251403206e+03 5.718497497708250e+03
5.3e-07 8.829296344770799e+03 5.747804948366765e+03
5.4e-07 8.818646351730173e+03 5.776454851527478e+03
5.5e-07 8.808180142164007e+03 5.804434767357494e+03
5.6e-07 8.797892359370720e+03 5.831822431712329e+03
5.7e-07 8.787778305264763e+03 5.858580456056794e+03
5.8e-07 8.777833020252170e+03 5.884782211131663e+03
5.9e-07 8.768052196283765e+03 5.910415329876426e+03
6e-07 8.758431232117797e+03 5.935501352922927e+03
6.1e-07 8.748966145081322e+03 5.960079231794720e+03
6.2e-07 8.739652567081872e+03 5.984054446108337e+03
6.3e-07 8.730486696983759e+03 6.007646163897753e+03
6.4e-07 8.721465107693022e+03 6.030863048262188e+03
6.5e-07 8.712584155004673e+03 6.053431426340582e+03
6.6e-07 8.703839945963919e+03 6.075594404605968e+03
6.7e-07 8.695229383810460e+03 6.097415217503863e+03
6.8e-07 8.686749490452250e+03 6.118872259836837e+03
6.9e-07 8.678396864251037e+03 6.139721684511061e+03
7e-07 8.670168297946109e+03 6.160258037218602e+03
7.1e-07 8.662061111378956e+03 6.180487879029723e+03
7.2e-07 8.654072703089436e+03 6.200400463149760e+03
7.3e-07 8.646200112091656e+03 6.219752052157538e+03
7.4e-07 8.638440489209854e+03 6.238822398301662e+03
7.5e-07 8.630791484551393e+03 6.257617168289036e+03
7.6e-07 8.623250814599274e+03 6.276141872241607e+03
7.7e-07 8.615816115545238e+03 6.294240321446496e+03
7.8e-07 8.608484749389210e+03 6.312016149355386e+03
7.9e-07 8.601254602894322e+03 6.329542664803440e+03
8e-07 8.594123653341672e+03 6.346786786954031e+03
8.1e-07 8.587089603483088e+03 6.363647156485154e+03
8.2e-07 8.580150370021753e+03 6.380276289744512e+03
8.3e-07 8.573304112404590e+03 6.396678524946612e+03
8.4e-07 8.566548992774142e+03 6.412774893493610e+03
8.5e-07 8.559882905839891e+03 6.428567363384369e+03
8.6e-07 8.553304090498614e+03 6.444148939336806e+03
8.7e-07 8.546810907462690e+03 6.459523448587494e+03
8.8e-07 8.540401708694970e+03 6.474611061868344e+03
8.9e-07 8.534074605543601e+03 6.489425759846089e+03
9e-07 8.527828032431009e+03 6.504047618351292e+03
9.1e-07 8.521660523658169e+03 6.518480026585446e+03
9.2e-07 8.515570634367852e+03 6.532671152598268e+03
9.3e-07 8.509556620405865e+03 6.546551936913636e+03
9.4e-07 8.503616991640456e+03 6.560256706821745e+03
9.5e-07 8.497750436493541e+03 6.573788457461542e+03
9.6e-07 8.491955674599953e+03 6.587150114832680e+03
